"ciudad","fecha","pp","ant_log","ant_op","prob","prob_corte","evento_log","Iop","umbral_op","evento_op"
"23255",2026-09-02,11.3,236.8,151.9,0,0.121,0,163.2,829.3,0
"23256",2026-09-02,7.9,206.4,124.9,0,0.107,0,132.8,974.9,0
"23257",2026-09-02,2.8,95,48.6,0,0.068,0,51.4,538.2,0
"23258",2026-09-02,0.7,15.4,12.7,0,0.046,0,13.4,169,0
"23259",2026-09-02,0.2,3.2,3.2,0,0.003,0,3.4,37.3,0
"23260",2026-09-02,0.1,0.9,0.9,0,0.004,0,1,32.5,0
"23267",2026-09-02,0,0,0,0,0.266,0,0,63,0
"23268",2026-09-02,0,9,0,0,0.081,0,0.1,53.8,0
"23269",2026-09-02,0,0,0,0,0.002,0,0,11.8,0
"23276",2026-09-02,0,0,0,0.001,0.237,0,0,51.2,0
"23277",2026-09-02,0,0,0,0.001,0.268,0,0,51.3,0
"23278",2026-09-02,0,0,0,0,0.423,0,0,55.3,0
"23283",2026-09-02,0,0.1,0,0.001,0.083,0,0,27.1,0
"23284",2026-09-02,0,0,0,0,0.016,0,0,32,0
"23285",2026-09-02,0,0,0,0.001,0.017,0,0,27.5,0
"23286",2026-09-02,0,1.2,0,0.001,0.007,0,0,9,0
"23287",2026-09-02,0,1,0,0.001,0.004,0,0,7.9,0
"23288",2026-09-02,0,1.1,0,0.001,0.004,0,0.1,6.6,0
"23294",2026-09-02,0,0,0,0.001,0.006,0,0,4.1,0
"23295",2026-09-02,0,0,0,0.001,0.181,0,0,16.6,0
"23299",2026-09-02,0,0.9,0.1,0,0.122,0,0.1,5.5,0
"23445",2026-09-02,2.4,5.6,7.2,0,0.024,0,9.6,57.7,0
"23446",2026-09-02,2.2,4.3,4.3,0,0.047,0,6.5,39.2,0
"23454",2026-09-02,2.9,2.3,51.4,0.001,0,1,54.3,8.3,1
"23455",2026-09-02,2.7,2.1,6.4,0.001,0,1,9.1,0.1,1
"23458",2026-09-02,2.3,34,10,0,0,1,12.2,254,0
"23459",2026-09-02,2.6,11.1,11.1,0.001,0.018,0,13.7,247.3,0
